numberOfNodes,numberOfOperations
1997,19968010
1998,19987999
1999,20007998
2000,20028007
2001,20048026
2002,20068055
2003,20088094
2004,20108143
2005,20128202
2006,20148271
2007,20168350
2008,20188439
2009,20208538
2010,20228647
2011,20248766
2012,20268895
2013,20289034
2014,20309183
2015,20329342
2016,20349511
2017,20369690
2018,20389879
2019,20410078
2020,20430287
2021,20450506
2022,20470735
2023,20490974
2024,20511223
2025,20531482
2026,20551751
2027,20572030
2028,20592319
2029,20612618
2030,20632927
2031,20653246
2032,20673575
2033,20693914
2034,20714263
2035,20734622
2036,20754991
2037,20775370
2038,20795759
2039,20816158
2040,20836567
2041,20856986
2042,20877415
2043,20897854
2044,20918303
2045,20938762
2046,20959231
2047,20979710
2048,21000199
2049,21020698
2050,21041207
2051,21061726
2052,21082255
2053,21102794
2054,21123343
2055,21143902
2056,21164471
2057,21185050
2058,21205639
2059,21226238
2060,21246847
2061,21267466
2062,21288095
2063,21308734
2064,21329383
2065,21350042
2066,21370711
2067,21391390
2068,21412079
2069,21432778
2070,21453487
2071,21474206
2072,21494935
2073,21515674
2074,21536423
2075,21557182
2076,21577951
2077,21598730
2078,21619519
2079,21640318
2080,21661127
2081,21681946
2082,21702775
2083,21723614
2084,21744463
2085,21765322
2086,21786191
2087,21807070
2088,21827959
2089,21848858
2090,21869767
2091,21890686
2092,21911615
2093,21932554
2094,21953503
2095,21974462
2096,21995431
2097,22016410
2098,22037399
2099,22058398
2100,22079407
2101,22100426
2102,22121455
2103,22142494
2104,22163543
2105,22184602
2106,22205671
2107,22226750
2108,22247839
2109,22268938
2110,22290047
2111,22311166
2112,22332295
2113,22353434
2114,22374583
2115,22395742
2116,22416911
2117,22438090
2118,22459279
2119,22480478
2120,22501687
2121,22522906
2122,22544135
2123,22565374
2124,22586623
2125,22607882
2126,22629151
2127,22650430
2128,22671719
2129,22693018
2130,22714327
2131,22735646
2132,22756975
2133,22778314
2134,22799663
2135,22821022
2136,22842391
2137,22863770
2138,22885159
2139,22906558
2140,22927967
2141,22949386
2142,22970815
2143,22992254
2144,23013703
2145,23035162
2146,23056631
2147,23078110
2148,23099599
2149,23121098
2150,23142607
2151,23164126
2152,23185655
2153,23207194
2154,23228743
2155,23250302
2156,23271871
2157,23293450
2158,23315039
2159,23336638
2160,23358247
2161,23379866
2162,23401495
2163,23423134
2164,23444783
2165,23466442
2166,23488111
2167,23509790
2168,23531479
2169,23553178
2170,23574887
2171,23596606
2172,23618335
2173,23640074
2174,23661823
2175,23683582
2176,23705351
2177,23727130
2178,23748919
2179,23770718
2180,23792527
2181,23814346
2182,23836175
2183,23858014
2184,23879863
2185,23901722
2186,23923591
2187,23945470
2188,23967359
2189,23989258
2190,24011167
2191,24033086
2192,24055015
2193,24076954
2194,24098903
